Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
trunk,-0.013095,-4.9963E-05,-0.074252,0,0,0,5.7042,0.0092853,-2.5997E-06,1.7135E-06,0.0076386,-2.7563E-05,0.012703,0,0,0,0,0,0,package://black_description/meshes/trunk.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://black_description/meshes/trunk.STL,,trunk-1,Originframe,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip,0.05138,0.014784,5.6642E-05,0,0,0,0.60559,0.00037423,-8.7952E-06,1.0024E-06,0.00064932,-6.9802E-08,0.00034154,0,0,0,0,0,0,package://black_description/meshes/FL_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://black_description/meshes/FL_hip.STL,,FL_hip-1,FL_frame1,FL_line1,FL_hip_joint,revolute,0.1566,0.060001,-0.06425,0,0,0,trunk,1,0,0,20,25,-10,10,,,,,,,,
FL_thigh,0.041449,0.004453,-0.021946,0,0,0,0.91168,0.0018577,-4.9269E-08,-1.9083E-07,0.0013983,5.1316E-06,0.00051793,0,0,0,0,0,0,package://black_description/meshes/FL_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://black_description/meshes/FL_thigh.STL,,FL_thigh-1,FL_frame2,FL_line2,FL_thigh_joint,revolute,0.056,0.0336,0,0,0,1.5708,FL_hip,1,0,0,20,25,-10,10,,,,,,,,
FL_calf,7.7228E-05,-0.024754,-0.14833,0,0,0,0.24861,0.00092905,2.6425E-08,-2.925E-08,0.00085606,-0.00021684,8.8931E-05,0,0,0,0,0,0,package://black_description/meshes/FL_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://black_description/meshes/FL_calf.STL,,FL_calf-1,FL_frame3,FL_line3,FL_calf_joint,revolute,0.0618,0,-0.25,0,0,0,FL_thigh,1,0,0,20,25,-10,10,,,,,,,,
FL_foot,0,0,0,0,0,0,6.545E-05,1.6362E-08,-4.583E-39,-4.702E-38,1.6362E-08,1.2895E-24,1.6362E-08,0,0,0,0,0,0,package://black_description/meshes/FL_foot.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://black_description/meshes/FL_foot.STL,,FL_foot-1,FL_frame4,FL_line4,FL_foot_fixed,fixed,0,-0.013803,-0.24433,0,0,0,FL_calf,0,0,0,,,,,,,,,,,,
FR_hip,0.05138,-0.014784,-5.6642E-05,0,0,0,0.60559,0.00037423,8.7952E-06,-1.0024E-06,0.00064932,-6.9802E-08,0.00034154,0,0,0,0,0,0,package://black_description/meshes/FR_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://black_description/meshes/FR_hip.STL,,FR_hip-1,FR_frame1,FR_line1,FR_hip_joint,revolute,0.1566,-0.059999,-0.06425,0,0,0,trunk,1,0,0,20,25,-10,10,,,,,,,,
FR_thigh,0.04152,-0.0043781,-0.022024,0,0,0,0.91491,0.0018577,-8.869E-08,-1.6926E-07,0.0013991,-3.059E-06,0.00051716,0,0,0,0,0,0,package://black_description/meshes/FR_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://black_description/meshes/FR_thigh.STL,,FR_thigh-1,FR_frame2,FR_line2,FR_thigh_joint,revolute,0.056,-0.0336,0,0,0,-1.5708,FR_hip,1,0,0,20,25,-10,10,,,,,,,,
FR_calf,-7.7228E-05,0.024754,-0.14833,0,0,0,0.24861,0.00092905,2.6424E-08,2.925E-08,0.00085606,0.00021684,8.8931E-05,0,0,0,0,0,0,package://black_description/meshes/FR_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://black_description/meshes/FR_calf.STL,,FR_calf-2,FR_frame3,FR_line3,FR_calf_joint,revolute,0.0618,0,-0.25,0,0,0,FR_thigh,1,0,0,20,25,-10,10,,,,,,,,
FR_foot,0,0,0,0,0,0,6.545E-05,1.6362E-08,-7.7097E-38,3.5265E-38,1.6362E-08,-1.2814E-24,1.6362E-08,0,0,0,0,0,0,package://black_description/meshes/FR_foot.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://black_description/meshes/FR_foot.STL,,FR_foot-1,FR_frame4,FR_line4,FR_foot_fixed,fixed,0,0.013803,-0.24433,0,0,0,FR_calf,0,0,0,,,,,,,,,,,,
RR_hip,0.05138,0.014784,5.6642E-05,0,0,0,0.60559,0.00037423,-8.7952E-06,1.0024E-06,0.00064932,-6.9802E-08,0.00034154,0,0,0,0,0,0,package://black_description/meshes/RR_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://black_description/meshes/RR_hip.STL,,RR_hip-2,RR_frame1,RR_line1,RR_hip_joint,revolute,-0.1566,-0.059999,-0.06425,0,0,-3.1416,trunk,1,0,0,20,25,-10,10,,,,,,,,
RR_thigh,0.04152,-0.0043784,-0.022024,0,0,0,0.91491,0.0018577,-8.869E-08,-1.6926E-07,0.0013991,-3.059E-06,0.00051716,0,0,0,0,0,0,package://black_description/meshes/RR_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://black_description/meshes/RR_thigh.STL,,RR_thigh-2,RR_frame2,RR_line2,RR_thigh_joint,revolute,0.056,0.0336,0,0,0,1.5708,RR_hip,1,0,0,20,25,-10,10,,,,,,,,
RR_calf,-7.7228E-05,0.024754,-0.14833,0,0,0,0.24861,0.00092905,2.6424E-08,2.925E-08,0.00085606,0.00021684,8.8931E-05,0,0,0,0,0,0,package://black_description/meshes/RR_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://black_description/meshes/RR_calf.STL,,RR_calf-2,RR_frame3,RR_line3,RR_calf_joint,revolute,0.0618,0,-0.25,0,0,0,RR_thigh,1,0,0,20,25,-10,10,,,,,,,,
RR_foot,-2.7756E-17,-1.1102E-16,-1.1102E-16,0,0,0,6.545E-05,1.6362E-08,5.3716E-39,0,1.6362E-08,-2.4958E-25,1.6362E-08,0,0,0,0,0,0,package://black_description/meshes/RR_foot.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://black_description/meshes/RR_foot.STL,,RR_foot-1,RR_frame4,RR_line4,RR_foot_fixed,fixed,0,0.013803,-0.24433,0,0,0,RR_calf,0,0,0,,,,,,,,,,,,
RL_hip,0.05138,-0.014784,-5.6642E-05,0,0,0,0.60559,0.00037423,8.7952E-06,-1.0024E-06,0.00064932,-6.9802E-08,0.00034154,0,0,0,0,0,0,package://black_description/meshes/RL_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://black_description/meshes/RL_hip.STL,,RL_hip-1,RL_frame1,RL_line1,RL_hip_joint,revolute,-0.1566,0.060001,-0.06425,0,0,-3.1416,trunk,1,0,0,20,25,-10,10,,,,,,,,
RL_thigh,0.041449,0.0044527,-0.021947,0,0,0,0.91168,0.0018577,-4.9269E-08,-1.9083E-07,0.0013983,5.1316E-06,0.00051793,0,0,0,0,0,0,package://black_description/meshes/RL_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://black_description/meshes/RL_thigh.STL,,RL_thigh-3,RL_frame2,RL_line2,RL_thigh_joint,revolute,0.056,-0.0336,0,0,0,-1.5708,RL_hip,1,0,0,20,25,-10,10,,,,,,,,
RL_calf,7.7228E-05,-0.024754,-0.14833,0,0,0,0.24861,0.00092905,2.6425E-08,-2.925E-08,0.00085606,-0.00021684,8.8931E-05,0,0,0,0,0,0,package://black_description/meshes/RL_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://black_description/meshes/RL_calf.STL,,RL_calf-2,RL_frame3,RL_line3,RL_calf_joint,revolute,0.0618,0,-0.25,0,0,0,RL_thigh,1,0,0,20,25,-10,10,,,,,,,,
RL_foot,2.498E-16,1.6653E-16,7.7716E-16,0,0,0,6.545E-05,1.6362E-08,8.6355E-39,4.702E-38,1.6362E-08,1.6569E-24,1.6362E-08,0,0,0,0,0,0,package://black_description/meshes/RL_foot.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://black_description/meshes/RL_foot.STL,,RL_foot-1,RL_frame4,RL_line4,RL_foot_fixed,fixed,0,-0.013803,-0.24433,0,0,0,RL_calf,0,0,0,,,,,,,,,,,,
